Unique URL,Model and Year,Miles Driven,Price
https://www.lexusoftampabay.com/?utm_source=Autotrader&utm_medium=ThirdParty&utm_campaign=*000001766*Dealer-Page,Used 2018 Lexus ES 350,31211,31211
/cars-for-sale/vehicledetails.xhtml?listingId=578390907&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dtrue&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&clickType=alpha,Used 2018 Lexus ES 350,GOOD PRICE,31211
/cars-for-sale/vehicledetails.xhtml?listingId=577710293&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&clickType=spotlight,Used 2018 Lexus ES 350,12287 ,31295
/cars-for-sale/vehicledetails.xhtml?listingId=576449474&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&clickType=spotlight,Used 2014 Lexus ES 350,125526 ,14997
/cars-for-sale/vehicledetails.xhtml?listingId=577070474&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Used 2016 Lexus ES 350,44940 ,24500
/cars-for-sale/vehicledetails.xhtml?listingId=563776994&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Used 2018 Lexus ES 350,15329 ,29500
/cars-for-sale/vehicledetails.xhtml?listingId=565292556&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Used 2018 Lexus ES 350,19999 ,25990
/cars-for-sale/vehicledetails.xhtml?listingId=575117384&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Used 2018 Lexus ES 350,31468 ,25993
/cars-for-sale/vehicledetails.xhtml?listingId=574595640&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Used 2007 Lexus ES 350,127182 ,7599
/cars-for-sale/vehicledetails.xhtml?listingId=577955173&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&clickType=spotlight,New 2021 Lexus ES 350 w/ Premium Package,Lexus of Tampa Bay (5.1 mi. away),41537
/cars-for-sale/vehicledetails.xhtml?listingId=575389000&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Used 2013 Lexus ES 350,95827 ,15039
/cars-for-sale/vehicledetails.xhtml?listingId=574027133&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Used 2017 Lexus ES 350,21706 ,24139
/cars-for-sale/vehicledetails.xhtml?listingId=577147518&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Certified 2017 Lexus ES 350,34079 ,26984
